,Normalized PX_LAST,Normalized ipca 1 year ahead,average,median,up-down
2008-05-15,0.3399024898577748,-0.53014750648522,-0.0951225083137226,-0.1903608880995833,1
2008-05-16,0.3559493597546144,-0.5072658772986758,-0.0756582587720307,-0.1894433251539917,1
2008-05-19,0.32663185422232155,-0.4835122252044104,-0.07844018549104442,-0.18852576220840012,1
2008-05-20,0.34027625339795153,-0.4840660618206188,-0.07189490421133363,-0.1875958672038448,1
2008-05-21,0.4423477355735014,-0.4817830997853717,-0.019717682105935164,-0.1866659721992895,1
2008-05-23,0.41192745423131527,-0.47763924469107155,-0.03285589522987814,-0.1855185362142898,1
2008-05-26,0.32483035139255795,-0.4634578837356118,-0.06931376617152693,-0.1843711002292901,1
2008-05-27,0.30824350026331615,-0.4169536559017235,-0.05435507781920368,-0.18362969129575107,1
2008-05-30,0.28667002244289186,-0.3987919842599864,-0.056060980908547275,-0.18288828236221205,1
2008-06-02,0.24845555224799049,-0.3991867362579958,-0.07536559200500265,-0.17927775059754716,1
2008-06-03,0.4112171537718678,-0.4000517701522062,0.0055826918098307865,-0.17566721883288228,1
2008-06-04,0.38827509758721473,-0.3982481057338777,-0.0049865040733314825,-0.17393928162452874,1
2008-06-05,0.35790858904791756,-0.3991283523151073,-0.020609881633594868,-0.1722113444161752,1
2008-06-06,0.32483035139255795,-0.3867788158152373,-0.030974232211339686,-0.16629527679471898,1
2008-06-10,0.15665236044094083,-0.3763302100498024,-0.10983892480443078,-0.16037920917326276,1
2008-06-11,0.12590635207100515,-0.3339223709565658,-0.10400800944278032,-0.15890981756520114,1
2008-06-12,0.12590635207100515,-0.32536554983391885,-0.09972959888145685,-0.15744042595713953,1
2008-06-13,0.12590635207100515,-0.32407724921365055,-0.0990854485713227,-0.15713845709482172,1
2008-06-16,0.12590635207100515,-0.29828853395405425,-0.08619109094152455,-0.1568364882325039,1
2008-06-17,-0.1295983036641605,-0.2870146319379822,-0.20830646780107137,-0.15713845709482172,0
2008-06-18,-0.1322544017399484,-0.273368187324901,-0.2028112945324247,-0.15744042595713953,0
2008-06-19,-0.1322544017399484,-0.2598775257660867,-0.19606596375301755,-0.15890981756520114,0
2008-06-20,-0.08889900521667186,-0.2315364120912756,-0.16021770865397372,-0.16021770865397372,0
2008-06-23,-0.09387830682292118,-0.2246075921536469,-0.15924294948828405,-0.15973032907112888,1
2008-06-24,-0.04549632088207513,-0.20183825393275484,-0.12366728740741498,-0.15924294948828405,1
2008-06-25,-0.07108647669225533,-0.19868547215737895,-0.13488597442481715,-0.1583416877227118,1
2008-06-26,0.22476765847793442,-0.19076779635572774,0.01699993106110334,-0.15744042595713953,1
2008-06-27,0.1705912290208665,-0.18535026903533824,-0.007379520007235865,-0.15713845709482172,1
2008-06-30,0.23651097278741143,-0.18165176244991119,0.02742960516875012,-0.1568364882325039,1
2008-07-01,-0.23547817676632019,-0.17646527559226913,-0.20597172617929466,-0.15713845709482172,0
2008-07-02,-0.2550322547763526,-0.16650346634141802,-0.2107678605588853,-0.15744042595713953,0
2008-07-03,-0.24551425121986037,-0.16125664372613333,-0.20338544747299686,-0.1583416877227118,0
2008-07-04,-0.2635650934545939,-0.14908279329417706,-0.20632394337438548,-0.15924294948828405,0
2008-07-07,-0.28155700932768896,-0.12900095974547646,-0.20527898453658272,-0.15973032907112888,0
2008-07-08,-0.28691192260337517,-0.10754312310433907,-0.1972275228538571,-0.16021770865397372,0
2008-07-10,-0.291539930476749,-0.12259648170792971,-0.20706820609233934,-0.16029845891361824,0
2008-07-11,-0.30029463023583824,-0.12219226810502101,-0.21124344917042964,-0.16037920917326276,0
2008-07-14,-0.408364778957021,-0.1256546113033736,-0.2670096951301973,-0.16629527679471898,0
2008-07-18,-0.20761390110967914,-0.12470680805723974,-0.16616035458345946,-0.16616035458345946,0
2008-07-21,-0.2286085598099985,-0.1284555721077255,-0.178532065958862,-0.16918584949981733,0
2008-07-22,-0.25190684220619713,-0.12827989517532198,-0.19009336869075955,-0.1722113444161752,0
2008-07-23,-0.244976841604314,-0.12397109869484124,-0.18447397014957762,-0.17393928162452874,0
2008-07-24,-0.2638623500581654,-0.12387560930345076,-0.19386897968080807,-0.17566721883288228,0
2008-07-25,-0.2550322547763526,-0.12791800829280672,-0.19147513153457968,-0.17709964239587214,0
2008-07-31,-0.17898462451622693,-0.1440699016537995,-0.1615272630850132,-0.17566721883288228,1
2008-08-01,-0.14538385063828782,-0.1499432713671579,-0.14766356100272288,-0.17393928162452874,1
2008-08-04,-0.14538385063828782,-0.15584239298910793,-0.15061312181369788,-0.1722113444161752,1
2008-08-06,-0.09480819757320699,-0.16355551665314053,-0.12918185711317376,-0.16918584949981733,1
2008-08-07,-0.0847090719969602,-0.1730056808279664,-0.1288573764124633,-0.16616035458345946,1
2008-08-08,-0.07614533037591739,-0.18047063511371525,-0.1283079827448163,-0.16384380883423633,1
2008-08-12,-0.13895559236677657,-0.18972631999353032,-0.16434095618015343,-0.16434095618015343,0
2008-08-13,-0.14909728526041557,-0.19148860910735516,-0.17029294718388538,-0.16525065538180644,0
2008-08-14,-0.5473590379983444,-0.19144494408914234,-0.3694019910437434,-0.16616035458345946,0
2008-08-18,-0.5664504798111283,-0.2023861034963426,-0.3844182916537354,-0.16822665088367242,0
2008-08-19,-0.5664504798111283,-0.20587383026843945,-0.38616215503978385,-0.17029294718388538,0
2008-08-21,-0.7816754681416606,-0.21975888670607224,-0.5007171774238663,-0.1712521458000303,0
2008-08-22,-0.7816754681416606,-0.22481525218593124,-0.5032453601637958,-0.1722113444161752,0
2008-08-25,-0.8373499946985712,-0.22825597999646724,-0.5328029873475192,-0.17393928162452874,0
2008-08-29,-0.8792001426678592,-0.24001169663534774,-0.5596059196516034,-0.17566721883288228,0
2008-09-02,-0.6578829138864211,-0.24988840340294793,-0.4538856586446845,-0.17709964239587214,0
